id,message_id,user_id,reply_count,reply_users_count,message_datetime,extracted_datetime,reply_users,channel_name
U1FM88J9J,82e710eb-abbc-450c-b8a9-e341d5b063a7,UP9T7VJBF,46,27,2024-10-10T16:14:26Z,2024-10-10T16:51:11Z,"[""UWW10VL06"",""UOBK5OFZ0"",""US3QTX4Z1"",""UE83A3954"",""UV77JEL7Q"",""U5V38TNV1"",""U3TE14ET2"",""UYJ494VWS"",""UK839UQ5R"",""U549234TU"",""U24SJD0U3"",""UB51ZBPGJ"",""UYEP6YY91"",""U306GEBY8"",""UL9VWQ9S2"",""UY640917T"",""U85PB3J63"",""UIX8TSI0Y"",""UKA77QAYY"",""UC3Z15JC3"",""UK4V3ON2O"",""U2XQ3JJAN"",""UNC2V4ZD7"",""UNS22LGIY"",""UIDQ8QXI5"",""U4095YWYD"",""UB9LLF16J""]",engineering
UYVM94HE1,be311f21-d47d-4e54-988c-7662801826f6,UB51ZBPGJ,21,17,2025-02-09T07:54:56Z,2025-02-09T08:49:21Z,"[""UZ90K3JDW"",""UU6K92DUR"",""U8S28EIM6"",""U84A3Q05B"",""U3U77Y17K"",""UFUV7GPHM"",""UEA8H90WN"",""UO513ARUP"",""ULWL32B29"",""U0381889F"",""U6P582A60"",""UNNH8IW78"",""UL96240J4"",""UR257U86O"",""UN979RN92"",""UG6UG9470"",""U0D6182AR""]",cats
UL9VWQ9S2,513adecc-41a0-4f3c-93e4-dde57aca0482,ULAN263E4,22,1,2025-06-18T01:05:33Z,2025-06-18T01:28:17Z,"[""UPT27H737""]",random
US3QTX4Z1,f0f60d68-d642-4b54-86d7-79ff659cceb1,U0KG42Q0P,28,17,2024-08-17T22:10:57Z,2024-08-17T22:58:56Z,"[""UU95TZPYP"",""UNVWFC5Q1"",""U7ZP08017"",""UDC0ZA535"",""ULRS0HVJ3"",""UV4M04Y17"",""USI1BH3K3"",""UB81I8027"",""U0EIW7DOX"",""UKVN1ZI1Z"",""U0KG42Q0P"",""UF39WLXAT"",""U7PX1XVTE"",""UZ271WU40"",""UHGL04640"",""UFF1HYHJ2"",""UP9T7VJBF""]",cats
U34AX16M0,6f4ae718-5b33-4ba7-83b1-e259826bf8ff,U85PB3J63,46,14,2024-08-14T07:13:48Z,2024-08-14T07:20:08Z,"[""U168N7Y9G"",""UORS33I12"",""U7W96XW2A"",""U3GY5K9EQ"",""U3HY0BS3W"",""UCL2RJ89X"",""U91Q0A72O"",""U1FM88J9J"",""U34AX16M0"",""U378U76S4"",""U96N45CL2"",""UWL5JX23M"",""UE0WA7608"",""ULAN263E4""]",random
UFUV7GPHM,07941fc7-cd12-4361-827b-537c86f528a2,U7PX1XVTE,18,15,2025-11-12T17:54:45Z,2025-11-12T18:47:58Z,"[""UH1039P7I"",""UA3IV9419"",""U3O3NUM10"",""UH749DC04"",""UA7M10C0O"",""UWBXBIUB7"",""UJ65P6F44"",""UK756E555"",""UYVM94HE1"",""U9E255NN9"",""UN0J0I7F0"",""U0GBC0N90"",""U9YFOYM78"",""UNY6WDI60"",""U81OT695K""]",engineering
U9E255NN9,b3176fde-c40a-4c48-9a3a-518c258a00b1,U2XQ3JJAN,3,3,2024-10-13T01:09:14Z,2024-10-13T01:25:14Z,"[""U2M260029"",""U2QXC4ZNG"",""U08ITMEA6""]",random
U4095YWYD,4ac881c4-5c68-46ef-8201-2f8724fef37e,UYEP6YY91,34,7,2025-04-23T21:29:00Z,2025-04-23T21:40:46Z,"[""UL2989703"",""UL92954KA"",""UZ5125Y28"",""UQSF747QR"",""UEZMYV74R"",""UQY0NPYWN"",""U2XQ3JJAN""]",random
UHGL04640,2e2e77b7-4b96-417b-bec2-2942cde6debd,U0381889F,26,3,2024-08-15T00:16:33Z,2024-08-15T00:52:24Z,"[""UCL2RJ89X"",""UKA77QAYY"",""U0KG42Q0P""]",general
UN0J0I7F0,72953848-057e-4fb7-815d-907819180cf0,UPT27H737,32,32,2025-11-24T14:50:39Z,2025-11-24T15:23:13Z,"[""UL92954KA"",""UB81I8027"",""UA3IV9419"",""UU6K92DUR"",""UDC0ZA535"",""UYJ494VWS"",""U168N7Y9G"",""UZ90K3JDW"",""U9E255NN9"",""UV4M04Y17"",""U8S28EIM6"",""UWL5JX23M"",""U3HY0BS3W"",""UL9VWQ9S2"",""UNVWFC5Q1"",""UNY6WDI60"",""U24SJD0U3"",""U7ZP08017"",""U4095YWYD"",""UH1039P7I"",""UO513ARUP"",""U84A3Q05B"",""UK4V3ON2O"",""UE83A3954"",""U3U77Y17K"",""UNNH8IW78"",""UWW10VL06"",""U0EIW7DOX"",""U306GEBY8"",""UOBK5OFZ0"",""U1FM88J9J"",""ULWL32B29""]",random
UH749DC04,fea26ca6-71f8-4295-b2cb-82b3a9cd3b3e,UZ90K3JDW,10,7,2025-06-17T08:12:44Z,2025-06-17T08:35:22Z,"[""UR257U86O"",""U2M260029"",""UZ5125Y28"",""U3TE14ET2"",""UFF1HYHJ2"",""UK839UQ5R"",""U7W96XW2A""]",engineering
U81OT695K,fa820220-e442-4bbe-afba-e751152d4c5a,UNVWFC5Q1,19,1,2025-07-29T23:15:29Z,2025-07-29T23:28:49Z,"[""UE0WA7608""]",general
U84A3Q05B,c7e8bbd1-963b-41bc-a779-28ff01de9951,U7W96XW2A,37,15,2024-10-05T08:20:24Z,2024-10-05T08:49:53Z,"[""UA7M10C0O"",""U378U76S4"",""U0381889F"",""U0D6182AR"",""U2QXC4ZNG"",""U9YFOYM78"",""UP9T7VJBF"",""UG6UG9470"",""UH749DC04"",""UJ65P6F44"",""U34AX16M0"",""UIX8TSI0Y"",""UQY0NPYWN"",""U81OT695K"",""ULAN263E4""]",engineering
UWL5JX23M,670e63f6-61ca-4992-ad30-4bcfb09a8063,UQSF747QR,43,40,2025-05-26T09:23:19Z,2025-05-26T09:48:23Z,"[""UNS22LGIY"",""U6P582A60"",""UN0J0I7F0"",""UFUV7GPHM"",""U3GY5K9EQ"",""U7PX1XVTE"",""UPT27H737"",""UYVM94HE1"",""UF39WLXAT"",""U549234TU"",""UL96240J4"",""UB9LLF16J"",""ULRS0HVJ3"",""U08ITMEA6"",""UORS33I12"",""U3O3NUM10"",""UC3Z15JC3"",""US3QTX4Z1"",""UU95TZPYP"",""UY640917T"",""U0GBC0N90"",""UV77JEL7Q"",""U85PB3J63"",""U5V38TNV1"",""UB51ZBPGJ"",""U91Q0A72O"",""UWBXBIUB7"",""UEA8H90WN"",""UHGL04640"",""U96N45CL2"",""UNC2V4ZD7"",""UIDQ8QXI5"",""UEZMYV74R"",""UK756E555"",""UQSF747QR"",""USI1BH3K3"",""UYEP6YY91"",""UZ271WU40"",""UKVN1ZI1Z"",""UN979RN92""]",cats
U7ZP08017,6c6d6992-ba32-450a-a93f-6732222cd679,ULRS0HVJ3,30,29,2025-06-27T14:11:26Z,2025-06-27T14:51:19Z,"[""UF39WLXAT"",""UNY6WDI60"",""UWBXBIUB7"",""U2M260029"",""U08ITMEA6"",""UYJ494VWS"",""U1FM88J9J"",""UH1039P7I"",""UB9LLF16J"",""UNNH8IW78"",""U2QXC4ZNG"",""UV77JEL7Q"",""UEZMYV74R"",""UCL2RJ89X"",""U9E255NN9"",""U81OT695K"",""UFUV7GPHM"",""UQY0NPYWN"",""U0GBC0N90"",""U3TE14ET2"",""UB51ZBPGJ"",""U378U76S4"",""U84A3Q05B"",""U2XQ3JJAN"",""UU6K92DUR"",""UZ5125Y28"",""UH749DC04"",""UK4V3ON2O"",""U9YFOYM78""]",marketing
UL2989703,bf98352a-8858-47db-9ec1-b350bdcefed6,U0D6182AR,31,15,2025-03-26T16:17:23Z,2025-03-26T16:58:59Z,"[""U7ZP08017"",""UHGL04640"",""UKVN1ZI1Z"",""UP9T7VJBF"",""UKA77QAYY"",""UN979RN92"",""UA7M10C0O"",""UO513ARUP"",""U85PB3J63"",""U549234TU"",""U3HY0BS3W"",""UQSF747QR"",""UWL5JX23M"",""UZ271WU40"",""UL9VWQ9S2""]",marketing
UK839UQ5R,45e93938-a05d-4f50-b7bc-bd9c7e17b75a,U3GY5K9EQ,19,12,2025-06-20T06:16:45Z,2025-06-20T06:29:30Z,"[""UPT27H737"",""U0KG42Q0P"",""UYVM94HE1"",""UE0WA7608"",""USI1BH3K3"",""ULRS0HVJ3"",""UV4M04Y17"",""U7PX1XVTE"",""UWW10VL06"",""U5V38TNV1"",""U3GY5K9EQ"",""UR257U86O""]",general
U8S28EIM6,1c0c1455-096d-4981-aa62-0bcabd390fd3,U2M260029,11,10,2024-11-07T07:23:20Z,2024-11-07T07:37:16Z,"[""UJ65P6F44"",""UK756E555"",""U306GEBY8"",""U3U77Y17K"",""US3QTX4Z1"",""UU95TZPYP"",""U96N45CL2"",""U168N7Y9G"",""UNVWFC5Q1"",""UIDQ8QXI5""]",marketing
U549234TU,e4c076fd-fc3e-4170-ab22-bd5f05a445b3,ULWL32B29,36,14,2025-01-16T01:32:55Z,2025-01-16T02:07:32Z,"[""U91Q0A72O"",""UE83A3954"",""UIX8TSI0Y"",""U0EIW7DOX"",""U0D6182AR"",""UORS33I12"",""UDC0ZA535"",""UFF1HYHJ2"",""UA3IV9419"",""U34AX16M0"",""UL2989703"",""UNS22LGIY"",""UNC2V4ZD7"",""U3O3NUM10""]",cats
UB9LLF16J,73a985af-cb9f-452d-b546-9d701628785a,UC3Z15JC3,3,1,2025-06-25T07:09:48Z,2025-06-25T08:05:36Z,"[""UN0J0I7F0""]",social
UC3Z15JC3,2ed20501-fdfa-45a5-aa95-ef869894067a,UL96240J4,50,7,2024-07-06T00:09:04Z,2024-07-06T01:05:29Z,"[""UOBK5OFZ0"",""U0381889F"",""U7W96XW2A"",""UC3Z15JC3"",""UY640917T"",""UYEP6YY91"",""UG6UG9470""]",cats
