ID,NAME,IS_SUPERHOST,CREATED_AT,UPDATED_AT,dbt_scd_id,dbt_updated_at,dbt_valid_from,dbt_valid_to
1581,Annette,f,2014-01-05 16:12:45,2014-01-05 16:12:45,beb2cbbcd9c050a50576c0d994f125d4,2014-01-05 16:12:45,2014-01-05 16:12:45,2024-06-01 00:00:00
2164,Lulah,t,2013-07-31 23:29:31,2013-07-31 23:29:31,d6d9790ad72b5d1f92ba8c14e59da345,2013-07-31 23:29:31,2013-07-31 23:29:31,2024-06-01 00:00:00
2217,Ion,t,2017-10-17 05:20:28,2017-10-17 05:20:28,3081439cfa2f672ca5ee0deef44a3438,2017-10-17 05:20:28,2017-10-17 05:20:28,2024-06-01 00:00:00
3718,Britta,f,2009-06-05 21:34:42,2009-06-05 21:34:42,45ce757ed28641c64359e7fb561db37c,2009-06-05 21:34:42,2009-06-05 21:34:42,2024-06-01 00:00:00
11622,Maria,f,2021-10-24 02:42:09,2021-10-24 02:42:09,1cc9cf2051a8723a5a182b4993330236,2021-10-24 02:42:09,2021-10-24 02:42:09,2024-06-01 00:00:00
12360,Michael,t,2017-08-27 12:08:43,2017-08-27 12:08:43,2433f7b8a41c812dcf1fb291376ca6ca,2017-08-27 12:08:43,2017-08-27 12:08:43,2024-06-01 00:00:00
12424,Mariana,f,2021-11-08 17:27:31,2021-11-08 17:27:31,689b35df24ab4cc7d22ace603caa7aef,2021-11-08 17:27:31,2021-11-08 17:27:31,2024-06-01 00:00:00
15115,Christian,f,2015-01-03 17:53:53,2015-01-03 17:53:53,c222bd4d0f8bbe96b318e2ebce3638af,2015-01-03 17:53:53,2015-01-03 17:53:53,2024-06-01 00:00:00
17391,BrightRoom,t,2009-08-12 12:30:30,2009-08-12 12:30:30,d9a56d20e7c368991aafbeeca751a079,2009-08-12 12:30:30,2009-08-12 12:30:30,2024-06-01 00:00:00
22901,Hannes,f,2013-07-06 11:09:47,2013-07-06 11:09:47,3c0a3252850f4ee8b42e65be21bf04dd,2013-07-06 11:09:47,2013-07-06 11:09:47,2024-06-01 00:00:00
32299,Simon,f,2021-11-15 21:27:50,2021-11-15 21:27:50,95532362acf055d3855c4fe3b991a508,2021-11-15 21:27:50,2021-11-15 21:27:50,2024-06-01 00:00:00
32918,Patricia,f,2017-02-28 21:08:27,2017-02-28 21:08:27,05d905b8681ac41a64b5d29d115a09b8,2017-02-28 21:08:27,2017-02-28 21:08:27,2024-06-01 00:00:00
33355,Doug,f,2013-05-30 16:36:37,2013-05-30 16:36:37,b573818423a36740152f142e68d151a8,2013-05-30 16:36:37,2013-05-30 16:36:37,2024-06-01 00:00:00
33852,Philipp,f,2015-07-30 05:08:52,2015-07-30 05:08:52,8729b87133223851a6ace9e5c58865cf,2015-07-30 05:08:52,2015-07-30 05:08:52,2024-06-01 00:00:00
35103,Kamal,f,2017-12-04 04:25:58,2017-12-04 04:25:58,b80ca054fc88129366904c6d4584689f,2017-12-04 04:25:58,2017-12-04 04:25:58,2024-06-01 00:00:00
48159,Tracey,f,2019-06-04 22:26:33,2019-06-04 22:26:33,1e22be4b5a10180d792a0ccce603e583,2019-06-04 22:26:33,2019-06-04 22:26:33,2024-06-01 00:00:00
54283,Marine,t,2010-09-27 10:29:48,2010-09-27 10:29:48,6e26d3edcf70de82e461901a62ebea2d,2010-09-27 10:29:48,2010-09-27 10:29:48,2024-06-01 00:00:00
55531,Chris + Oliver,t,2010-06-15 19:56:01,2010-06-15 19:56:01,2ae002b7e11a310f1d6886a02f2f81ee,2010-06-15 19:56:01,2010-06-15 19:56:01,2024-06-01 00:00:00
60495,Inga,f,2021-10-29 07:55:08,2021-10-29 07:55:08,b8d7eb43edef0ed11e660ab083dae453,2021-10-29 07:55:08,2021-10-29 07:55:08,2024-06-01 00:00:00
64696,Rene,f,2010-05-30 12:11:33,2010-05-30 12:11:33,c1a4816da8282c108e013d8072ead43e,2010-05-30 12:11:33,2010-05-30 12:11:33,2024-06-01 00:00:00
68997,Matthias,f,2010-02-08 17:23:48,2010-02-08 17:23:48,0c3e876b1a9b3175569cb856abad377c,2010-02-08 17:23:48,2010-02-08 17:23:48,2024-06-01 00:00:00
71331,Marc,f,2012-09-24 21:03:01,2012-09-24 21:03:01,35b9cf66529411dfc39ff71f20a031cd,2012-09-24 21:03:01,2012-09-24 21:03:01,2024-06-01 00:00:00
71913,Jennifer,f,2014-12-02 17:39:03,2014-12-02 17:39:03,d060bdf464bd04ca17bcf050b1e2589a,2014-12-02 17:39:03,2014-12-02 17:39:03,2024-06-01 00:00:00
73158,Mina,f,2017-12-23 07:04:54,2017-12-23 07:04:54,da67aa0caae90c8d01b7b809bbe7e927,2017-12-23 07:04:54,2017-12-23 07:04:54,2024-06-01 00:00:00
84157,Emanuela,f,2015-12-05 14:55:58,2015-12-05 14:55:58,a5965b0547d35fbb47380a95f25a2811,2015-12-05 14:55:58,2015-12-05 14:55:58,2024-06-01 00:00:00
86159,Javier,f,2011-03-31 17:17:58,2011-03-31 17:17:58,d52da801195ea829ee73cb1fa0c173f8,2011-03-31 17:17:58,2011-03-31 17:17:58,2024-06-01 00:00:00
86173,Sebastian,f,2011-06-06 01:55:30,2011-06-06 01:55:30,1dc81fea183993708f00b2b18cc7c45d,2011-06-06 01:55:30,2011-06-06 01:55:30,2024-06-01 00:00:00
87357,Ramfis,t,2010-10-08 08:59:12,2010-10-08 08:59:12,8c052478b7ce06c89d3a2daa7a16e9b8,2010-10-08 08:59:12,2010-10-08 08:59:12,2024-06-01 00:00:00
94918,Tanja,f,2010-05-26 11:58:00,2010-05-26 11:58:00,f0879f95468b96a5a61c7cc0668279d5,2010-05-26 11:58:00,2010-05-26 11:58:00,2024-06-01 00:00:00
98237,Damian,f,2018-05-05 03:59:36,2018-05-05 03:59:36,f2427e3d959f29bbb4390b448e27a1a8,2018-05-05 03:59:36,2018-05-05 03:59:36,2024-06-01 00:00:00
99662,Dominik,f,2010-09-18 04:06:39,2010-09-18 04:06:39,5f42db996027703d533e23c68205d6b0,2010-09-18 04:06:39,2010-09-18 04:06:39,2024-06-01 00:00:00
102461,Berlin Style Apartments,t,2016-04-29 01:22:42,2016-04-29 01:22:42,c323f46d223b9bd0fef36f30f264557b,2016-04-29 01:22:42,2016-04-29 01:22:42,2024-06-01 00:00:00
109039,Benjamin,f,2021-11-07 06:57:21,2021-11-07 06:57:21,9361079b02e38e2b9f7d707c260e3548,2021-11-07 06:57:21,2021-11-07 06:57:21,2024-06-01 00:00:00
112168,Bernd,f,2017-06-26 11:30:48,2017-06-26 11:30:48,4211dafd594595ea438a9e2c81722935,2017-06-26 11:30:48,2017-06-26 11:30:48,2024-06-01 00:00:00
112675,Terri,t,2010-08-03 02:49:12,2010-08-03 02:49:12,3435d82136bde8d74926ac3e95a24f77,2010-08-03 02:49:12,2010-08-03 02:49:12,2024-06-01 00:00:00
119815,Amarna,f,2018-07-03 21:21:09,2018-07-03 21:21:09,f9704fe087ca16b573c8f26142a8849b,2018-07-03 21:21:09,2018-07-03 21:21:09,2024-06-01 00:00:00
133204,Songfei,f,2016-05-29 20:19:38,2016-05-29 20:19:38,9ac8e529abca778a9e39a406856ee2eb,2016-05-29 20:19:38,2016-05-29 20:19:38,2024-06-01 00:00:00
134583,Elisa,f,2016-08-19 08:17:00,2016-08-19 08:17:00,134a194b3b4b390b3a3b7de0444e7cdf,2016-08-19 08:17:00,2016-08-19 08:17:00,2024-06-01 00:00:00
