rank,driver_full_name,podiums,p1,p2,p3
1,Lewis Hamilton,201,105,56,40
2,Michael Schumacher,155,91,43,21
3,Sebastian Vettel,122,53,36,33
4,Max Verstappen,108,61,31,16
5,Fernando Alonso,106,32,40,34
5,Alain Prost,106,51,35,20
7,Kimi Räikkönen,103,21,37,45
8,Ayrton Senna,80,41,23,16
9,Rubens Barrichello,68,11,29,28
10,Valtteri Bottas,67,10,29,28
11,David Coulthard,62,13,26,23
12,Nelson Piquet,60,23,20,17
13,Nigel Mansell,59,31,17,11
14,Nico Rosberg,57,23,25,9
15,Niki Lauda,54,25,21,8
16,Mika Häkkinen,51,20,14,17
17,Jenson Button,50,15,15,20
18,Gerhard Berger,48,10,17,21
19,Carlos Reutemann,45,12,13,20
20,Jackie Stewart,43,27,11,5
