account_id,account_name,industry,segment,region,billing_country,usage_date,workspace_days_reporting,active_users,projects_run,api_calls,alerts_sent,max_storage_gb,avg_storage_gb
A1001,Helio Systems,healthcare,mid_market,EMEA,NL,2025-06-04,3,6,42,2087,8,27.9,24.599999999999998
A1001,Helio Systems,healthcare,mid_market,EMEA,NL,2025-06-09,3,4,31,1576,7,28.7,25.599999999999998
A1002,Summit Foods,media,mid_market,NA,US,2025-06-05,2,6,30,1859,4,30.7,30.549999999999997
A1002,Summit Foods,media,mid_market,NA,US,2025-06-28,2,6,18,1217,5,35.8,35.15
A1002,Summit Foods,media,mid_market,NA,US,2025-06-29,2,5,16,1131,3,36.3,34.55
A1002,Summit Foods,media,mid_market,NA,US,2025-06-30,2,7,33,1514,5,33.8,33.75
A1003,Nova Ventures,manufacturing,enterprise,NA,US,2025-06-03,2,6,48,3233,12,60.0,50.3
A1005,Pacific Labs,manufacturing,enterprise,EMEA,UK,2025-06-06,3,7,53,2880,11,56.0,48.06666666666666
A1005,Pacific Labs,manufacturing,enterprise,EMEA,UK,2025-06-15,3,6,27,1605,6,56.6,49.43333333333334
A1006,Helio Works,education,mid_market,EMEA,UK,2025-06-24,2,6,32,1714,8,29.5,26.85
A1007,Silver Systems,energy,smb,EMEA,FR,2025-06-10,1,1,7,305,1,21.7,21.7
A1007,Silver Systems,energy,smb,EMEA,FR,2025-06-20,1,1,8,578,2,24.5,24.5
A1008,Pacific Works,software,mid_market,EMEA,UK,2025-06-07,3,6,21,1397,3,21.6,20.2
A1009,Summit Group,financial_services,mid_market,NA,US,2025-06-12,2,10,50,3355,8,23.5,21.55
A1010,Orchid Foods,education,smb,NA,CA,2025-06-10,1,6,28,1856,5,23.6,23.6
A1010,Orchid Foods,education,smb,NA,CA,2025-06-20,1,4,18,1321,2,26.0,26.0
A1011,Vertex Energy,software,smb,NA,CA,2025-06-17,1,3,17,990,3,24.2,24.2
A1012,Cedar Ventures,retail,smb,APAC,JP,2025-06-01,1,1,4,253,1,21.8,21.8
A1012,Cedar Ventures,retail,smb,APAC,JP,2025-06-08,1,2,5,287,1,23.7,23.7
A1012,Cedar Ventures,retail,smb,APAC,JP,2025-06-14,1,2,5,342,1,24.9,24.9
A1013,River Foods,manufacturing,mid_market,NA,US,2025-06-03,3,5,39,2160,9,23.4,20.8
A1016,BluePeak Capital,energy,enterprise,EMEA,DE,2025-06-16,4,13,88,5751,17,63.6,50.825
A1016,BluePeak Capital,energy,enterprise,EMEA,DE,2025-06-21,4,7,36,2227,7,65.5,52.25
A1016,BluePeak Capital,energy,enterprise,EMEA,DE,2025-06-25,4,16,100,5560,19,66.3,52.175
A1017,Summit Analytics,financial_services,mid_market,EMEA,UK,2025-06-03,2,4,27,1733,5,29.9,29.549999999999997
