account_id,latest_subscription_id,plan_id,plan_name,plan_family,billing_cycle,support_tier,latest_subscription_status,latest_subscription_start_date,latest_subscription_end_date,contracted_seats,discount_pct,effective_monthly_value_usd,geo_segment,latest_invoice_id,latest_invoice_date,latest_invoice_due_date,latest_invoice_status,latest_payment_status,latest_payment_method,latest_payment_date,latest_invoice_total_usd,latest_invoice_amount_paid_usd,latest_outstanding_amount_usd,past_due_invoice_count,open_invoice_count,has_past_due_invoice
A1008,S6010,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-01-01,,12,5.0,2470.0,EMEA / mid_market,I7036,2025-06-01,2025-06-15,paid,paid,card,2025-06-09,2964.0,2964.0,0.0,0,0,false
A1055,S6063,P5002,Growth Monthly,growth,monthly,priority,active,2025-02-01,,13,0.0,1500.0,EMEA / mid_market,I7259,2025-06-01,2025-06-15,past_due,failed,card,2025-06-20,1800.0,0.0,1800.0,1,1,true
A1069,S6078,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-01-01,,13,10.0,2025.0,NA / enterprise,I7329,2025-01-01,2025-01-15,paid,paid,card,2025-01-12,24300.0,24300.0,0.0,0,0,false
A1078,S6089,P5002,Growth Monthly,growth,monthly,priority,active,2025-03-01,,13,5.0,1425.0,EMEA / mid_market,I7374,2025-06-01,2025-06-15,paid,paid,card,2025-06-13,1710.0,1710.0,0.0,0,0,false
A1084,S6096,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-01-01,,12,0.0,2600.0,NA / mid_market,I7402,2025-06-01,2025-06-15,paid,paid,ach,2025-06-06,2600.0,2600.0,0.0,0,0,false
A1085,S6097,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,5,0.0,500.0,NA / smb,I7408,2025-06-01,2025-06-15,paid,paid,ach,2025-06-13,500.0,500.0,0.0,0,0,false
A1087,S6099,P5002,Growth Monthly,growth,monthly,priority,canceled,2025-01-01,2025-04-30,12,0.0,1500.0,NA / enterprise,I7416,2025-04-01,2025-04-15,paid,paid,wire,2025-04-14,1500.0,1500.0,0.0,0,0,false
A1089,S6101,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,15,0.0,1500.0,NA / mid_market,I7426,2025-06-01,2025-06-15,paid,paid,ach,2025-06-09,1500.0,1500.0,0.0,0,0,false
A1002,S6003,P5002,Growth Monthly,growth,monthly,priority,active,2025-03-01,,13,0.0,1500.0,NA / mid_market,I7011,2025-06-01,2025-06-15,open,,,,1500.0,0.0,1500.0,0,1,false
A1005,S6006,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-01-01,,17,5.0,2137.5,EMEA / enterprise,I7018,2025-01-01,2025-01-15,paid,paid,wire,2025-01-14,33180.0,33180.0,0.0,0,0,false
