account_id,account_name,segment,region,billing_country,customer_status,plan_name,latest_subscription_status,latest_invoice_status,latest_payment_status,latest_outstanding_amount_usd,has_past_due_invoice,active_user_count,active_workspace_count,avg_active_users_7d,total_projects_run_30d,total_api_calls_30d,open_ticket_count,breached_sla_ticket_count,avg_csat_score,latest_month_recurring_revenue_usd,latest_month_total_revenue_usd,account_health_score
A1063,Maple Global,smb,NA,CA,active,Starter Monthly,active,open,,400.0,false,3,1,0.0,266,15675,1,0,4.0,400.0,400.0,75
A1008,Pacific Works,mid_market,EMEA,UK,active,Enterprise Monthly,active,paid,paid,0.0,false,11,3,0.0,1255,75716,0,0,3.6666666666666665,2470.0,2964.0,80
A1055,Pioneer Systems,mid_market,EMEA,FR,active,Growth Monthly,active,past_due,failed,1800.0,true,12,2,0.0,797,38707,0,0,4.333333333333333,1500.0,1800.0,55
A1069,Bright Foods,enterprise,NA,CA,active,Enterprise Annual,active,paid,paid,0.0,false,11,3,0.0,1634,96476,0,0,4.333333333333333,24300.0,24300.0,80
A1078,Beacon Foods,mid_market,EMEA,FR,active,Growth Monthly,active,paid,paid,0.0,false,10,3,0.0,1081,63211,1,0,4.0,1425.0,1710.0,75
A1084,Silver Foods,mid_market,NA,CA,active,Enterprise Monthly,active,paid,paid,0.0,false,9,2,0.0,970,59696,1,0,3.0,2600.0,2600.0,75
A1085,Sierra Capital,smb,NA,US,active,Starter Monthly,active,paid,paid,0.0,false,4,1,0.0,335,20055,0,1,4.0,500.0,500.0,80
A1089,Beacon Network,mid_market,NA,US,active,Growth Monthly,active,paid,paid,0.0,false,10,2,0.0,1041,63704,0,1,5.0,1500.0,1500.0,80
A1024,Sierra Group,smb,NA,CA,active,Starter Monthly,active,paid,paid,0.0,false,4,2,0.0,490,28759,0,0,5.0,500.0,500.0,80
A1035,Bright Retail,mid_market,EMEA,UK,active,Enterprise Monthly,active,paid,paid,0.0,false,11,3,0.0,1115,59544,0,0,4.4,2600.0,3120.0,80
A1058,Evergreen Analytics,smb,EMEA,UK,active,Starter Monthly,active,paid,paid,0.0,false,5,2,0.0,594,36026,0,0,4.333333333333333,500.0,600.0,80
A1001,Helio Systems,mid_market,EMEA,NL,active,Growth Monthly,active,paid,paid,0.0,false,7,3,0.0,947,54717,0,0,4.5,1500.0,1800.0,80
A1028,Apex Energy,mid_market,APAC,SG,active,Enterprise Monthly,active,open,,2834.0,false,10,2,0.0,792,40215,0,0,4.666666666666667,2600.0,2834.0,80
A1054,Granite Labs,mid_market,APAC,NZ,active,Enterprise Monthly,active,paid,paid,0.0,false,8,3,0.0,1221,71204,1,0,3.5,2470.0,2717.0,75
A1059,Evergreen Partners,mid_market,NA,CA,active,Enterprise Monthly,active,paid,paid,0.0,false,10,2,0.0,749,39880,0,0,4.6,2080.0,2080.0,80
A1066,Pacific Capital,mid_market,APAC,NZ,active,Enterprise Monthly,active,open,,2860.0,false,10,2,0.0,983,58910,0,1,3.6666666666666665,2600.0,2860.0,80
A1067,Maple Energy,mid_market,NA,CA,active,Growth Monthly,active,paid,paid,0.0,false,6,2,0.0,641,32283,1,0,4.25,1500.0,1500.0,75
A1079,Nova Foods,enterprise,EMEA,FR,active,Enterprise Annual,active,paid,paid,0.0,false,14,4,0.0,2169,127089,0,0,3.4285714285714284,21600.0,25920.0,80
A1071,Evergreen Group,mid_market,NA,CA,active,Enterprise Monthly,active,open,,2080.0,false,12,3,0.0,1161,64088,0,0,3.5,2080.0,2080.0,80
A1026,Pioneer Capital,smb,NA,CA,active,Starter Monthly,active,paid,paid,0.0,false,8,1,0.0,507,30416,0,0,5.0,400.0,400.0,80
A1037,Lighthouse Network,enterprise,EMEA,UK,active,Enterprise Monthly,active,paid,paid,0.0,false,15,4,0.0,1892,93362,1,0,4.333333333333333,2600.0,3120.0,75
A1042,Northwind Labs,mid_market,APAC,AU,active,Growth Monthly,active,paid,paid,0.0,false,10,3,0.0,1136,60586,0,2,4.2,1500.0,1650.0,80
A1061,Atlas Capital,enterprise,EMEA,FR,active,Enterprise Monthly,active,paid,paid,0.0,false,16,3,0.0,1687,91764,1,0,5.0,2470.0,2964.0,75
A1064,Atlas Health,smb,NA,US,active,Starter Monthly,active,paid,paid,0.0,false,4,1,0.0,306,18016,0,0,5.0,400.0,400.0,80
A1030,Northwind Analytics,enterprise,EMEA,UK,active,Enterprise Monthly,active,paid,paid,0.0,false,11,4,0.0,1853,112662,0,0,4.25,2470.0,2964.0,80
A1039,Nova Group,smb,EMEA,FR,active,Starter Monthly,active,paid,paid,0.0,false,7,1,0.0,457,27512,0,1,5.0,500.0,600.0,80
A1043,Lighthouse Works,enterprise,APAC,SG,active,Enterprise Monthly,active,paid,paid,0.0,false,16,4,0.0,2105,114513,1,0,4.0,2600.0,2834.0,75
