account_id,account_name,industry,region,segment,billing_country,created_at,customer_status,employee_band,owner_team,is_deleted,source_batch_id,is_churned
A1001,Helio Systems,healthcare,EMEA,mid_market,NL,2024-08-12 13:43:48,active,201-500,CSM-EMEA,false,acct_load_4,false
A1002,Summit Foods,media,NA,mid_market,US,2025-01-10 22:12:29,active,501-1000,CSM-East,false,acct_load_5,false
A1003,Nova Ventures,manufacturing,NA,enterprise,US,2024-12-11 03:21:52,active,1000+,CSM-East,false,acct_load_10,false
A1004,Silver Solutions,manufacturing,NA,enterprise,US,2024-09-07 13:27:43,churned,5000+,CSM-East,false,acct_load_9,true
A1005,Pacific Labs,manufacturing,EMEA,enterprise,UK,2024-08-31 14:28:15,active,5000+,CSM-EMEA,false,acct_load_12,false
A1006,Helio Works,education,EMEA,mid_market,UK,2024-11-21 09:17:28,active,201-500,CSM-EMEA,false,acct_load_12,false
A1007,Silver Systems,energy,EMEA,smb,FR,2024-12-22 18:20:12,active,51-200,CSM-EMEA,false,acct_load_8,false
A1008,Pacific Works,software,EMEA,mid_market,UK,2024-10-06 11:07:40,active,201-500,CSM-EMEA,false,acct_load_10,false
A1009,Summit Group,financial_services,NA,mid_market,US,2024-08-22 17:22:46,active,501-1000,CSM-East,false,acct_load_9,false
A1010,Orchid Foods,education,NA,smb,CA,2025-02-10 21:10:21,active,11-50,CSM-East,false,acct_load_7,false
A1011,Vertex Energy,software,NA,smb,CA,2025-01-14 09:17:33,active,51-200,CSM-East,false,acct_load_3,false
A1012,Cedar Ventures,retail,APAC,smb,JP,2024-08-19 07:09:23,active,11-50,CSM-APAC,false,acct_load_11,false
A1013,River Foods,manufacturing,NA,mid_market,US,2024-12-27 04:56:58,active,501-1000,CSM-East,false,acct_load_9,false
A1014,Evergreen Global,retail,APAC,enterprise,SG,2024-09-21 19:29:43,churned,1000+,CSM-APAC,false,acct_load_3,true
A1015,Delta Network,logistics,NA,smb,US,2024-09-04 16:34:41,churned,51-200,CSM-East,false,acct_load_8,true
A1016,BluePeak Capital,energy,EMEA,enterprise,DE,2024-12-24 05:07:46,active,1000+,CSM-EMEA,false,acct_load_8,false
A1017,Summit Analytics,financial_services,EMEA,mid_market,UK,2024-11-28 10:14:21,active,201-500,CSM-EMEA,false,acct_load_11,false
A1018,Harbor Manufacturing,media,EMEA,smb,UK,2024-09-18 20:10:22,churned,11-50,CSM-EMEA,false,acct_load_12,true
A1019,Sierra Systems,education,APAC,smb,JP,2025-02-26 10:36:13,active,51-200,CSM-APAC,false,acct_load_6,false
A1020,Pioneer Network,travel,EMEA,smb,FR,2025-02-18 00:09:23,active,11-50,CSM-EMEA,false,acct_load_4,false
A1021,Apex Logistics,software,NA,smb,US,2024-10-25 12:34:29,active,11-50,CSM-East,false,acct_load_5,false
A1022,Summit Collective,retail,APAC,smb,NZ,2025-02-16 16:16:56,active,51-200,CSM-APAC,false,acct_load_5,false
A1023,Atlas Systems,education,NA,smb,CA,2025-01-31 16:25:38,active,11-50,CSM-East,false,acct_load_12,false
A1024,Sierra Group,manufacturing,NA,smb,CA,2025-01-29 08:59:07,active,11-50,CSM-East,false,acct_load_5,false
A1025,Bright Capital,education,EMEA,smb,UK,2024-10-14 09:44:56,active,51-200,CSM-EMEA,false,acct_load_5,false
A1026,Pioneer Capital,education,NA,smb,CA,2024-08-30 06:38:17,active,11-50,CSM-East,false,acct_load_6,false
A1027,BluePeak Health,retail,APAC,smb,SG,2024-10-31 19:12:59,active,51-200,CSM-APAC,false,acct_load_11,false
A1028,Apex Energy,energy,APAC,mid_market,SG,2024-12-26 04:17:07,active,501-1000,CSM-APAC,false,acct_load_12,false
A1029,Bright Labs,manufacturing,APAC,enterprise,NZ,2024-08-31 01:24:19,churned,1000+,CSM-APAC,false,acct_load_4,true
A1030,Northwind Analytics,financial_services,EMEA,enterprise,UK,2024-08-23 04:49:08,active,5000+,CSM-EMEA,false,acct_load_10,false
A1031,Helio Holdings,healthcare,APAC,mid_market,AU,2025-02-14 05:18:16,active,201-500,CSM-APAC,false,acct_load_5,false
A1032,Vertex Works,manufacturing,EMEA,mid_market,DE,2024-09-16 13:25:27,churned,201-500,CSM-EMEA,false,acct_load_10,true
A1033,Lighthouse Global,logistics,NA,mid_market,CA,2024-10-19 07:50:01,active,201-500,CSM-East,false,acct_load_3,false
A1034,Helio Partners,travel,NA,smb,CA,2024-12-01 18:59:06,active,51-200,CSM-East,false,acct_load_12,false
A1035,Bright Retail,retail,EMEA,mid_market,UK,2025-02-25 19:06:57,active,501-1000,CSM-EMEA,false,acct_load_4,false
A1036,Granite Holdings,education,NA,smb,US,2024-12-22 12:14:31,churned,51-200,CSM-East,false,acct_load_7,true
A1037,Lighthouse Network,media,EMEA,enterprise,UK,2024-11-25 06:24:43,active,1000+,CSM-EMEA,false,acct_load_7,false
A1038,River Systems,logistics,APAC,smb,AU,2024-11-18 10:09:31,active,51-200,CSM-APAC,false,acct_load_5,false
A1039,Nova Group,media,EMEA,smb,FR,2025-02-06 17:26:48,active,11-50,CSM-EMEA,false,acct_load_4,false
A1040,Harbor Collective,healthcare,APAC,mid_market,SG,2024-12-08 12:58:20,active,201-500,CSM-APAC,false,acct_load_12,false
A1041,Cedar Logistics,media,EMEA,mid_market,NL,2024-08-04 18:07:41,active,201-500,CSM-EMEA,false,acct_load_3,false
A1042,Northwind Labs,manufacturing,APAC,mid_market,AU,2024-09-19 11:52:42,active,501-1000,CSM-APAC,false,acct_load_6,false
A1043,Lighthouse Works,financial_services,APAC,enterprise,SG,2024-10-21 14:03:18,active,1000+,CSM-APAC,false,acct_load_7,false
A1044,Summit Holdings,software,EMEA,smb,NL,2024-09-30 00:32:29,active,11-50,CSM-EMEA,false,acct_load_4,false
A1045,Nova Holdings,manufacturing,NA,enterprise,CA,2024-11-05 09:05:10,active,1000+,CSM-East,false,acct_load_11,false
A1046,Pioneer Solutions,education,NA,smb,CA,2024-10-17 12:09:12,active,51-200,CSM-East,false,acct_load_10,false
A1047,Orchid Global,healthcare,APAC,enterprise,AU,2024-10-15 00:06:00,active,5000+,CSM-APAC,false,acct_load_3,false
A1048,Orchid Capital,financial_services,APAC,enterprise,NZ,2025-02-14 20:00:18,active,5000+,CSM-APAC,false,acct_load_7,false
A1049,Northwind Network,energy,NA,enterprise,CA,2024-11-12 02:19:33,active,5000+,CSM-East,false,acct_load_7,false
A1050,Cedar Energy,software,APAC,smb,JP,2025-02-15 14:48:30,active,11-50,CSM-APAC,false,acct_load_4,false
A1051,Lighthouse Systems,media,EMEA,smb,UK,2025-02-26 02:44:10,active,51-200,CSM-EMEA,false,acct_load_11,false
A1052,Sierra Labs,software,APAC,mid_market,NZ,2024-11-30 21:54:21,active,501-1000,CSM-APAC,false,acct_load_9,false
A1053,Bright Health,media,NA,mid_market,CA,2024-09-19 10:24:29,active,501-1000,CSM-East,false,acct_load_6,false
A1054,Granite Labs,manufacturing,APAC,mid_market,NZ,2024-08-01 03:47:01,active,201-500,CSM-APAC,false,acct_load_3,false
A1055,Pioneer Systems,travel,EMEA,mid_market,FR,2025-01-19 13:44:38,active,501-1000,CSM-EMEA,false,acct_load_9,false
A1056,Delta Global,retail,APAC,mid_market,AU,2024-11-19 05:04:51,active,201-500,CSM-APAC,false,acct_load_11,false
A1057,Harbor Partners,education,APAC,enterprise,NZ,2024-10-17 08:01:31,active,1000+,CSM-APAC,false,acct_load_3,false
A1058,Evergreen Analytics,travel,EMEA,smb,UK,2025-01-08 22:52:12,active,11-50,CSM-EMEA,false,acct_load_7,false
A1059,Evergreen Partners,education,NA,mid_market,CA,2024-09-27 07:27:52,active,201-500,CSM-East,false,acct_load_10,false
A1060,Cedar Foods,healthcare,NA,mid_market,CA,2024-11-05 18:41:46,active,201-500,CSM-East,false,acct_load_9,false
A1061,Atlas Capital,travel,EMEA,enterprise,FR,2025-02-13 00:52:24,active,5000+,CSM-EMEA,false,acct_load_8,false
A1062,Delta Manufacturing,travel,EMEA,enterprise,NL,2024-11-09 15:50:25,active,1000+,CSM-EMEA,false,acct_load_6,false
A1063,Maple Global,education,NA,smb,CA,2024-11-14 12:34:06,active,11-50,CSM-East,false,acct_load_6,false
A1064,Atlas Health,education,NA,smb,US,2024-08-25 22:39:22,active,51-200,CSM-East,false,acct_load_4,false
A1065,Vertex Partners,manufacturing,NA,mid_market,US,2024-12-30 06:11:13,active,501-1000,CSM-East,false,acct_load_7,false
A1066,Pacific Capital,manufacturing,APAC,mid_market,NZ,2025-01-10 17:33:41,active,201-500,CSM-APAC,false,acct_load_7,false
A1067,Maple Energy,healthcare,NA,mid_market,CA,2024-12-30 00:24:42,active,201-500,CSM-East,false,acct_load_5,false
A1068,Helio Health,manufacturing,APAC,enterprise,SG,2024-08-11 12:36:33,active,1000+,CSM-APAC,false,acct_load_5,false
A1069,Bright Foods,manufacturing,NA,enterprise,CA,2024-12-06 03:08:52,active,5000+,CSM-East,false,acct_load_8,false
A1070,Helio Manufacturing,manufacturing,APAC,smb,NZ,2024-11-06 23:20:27,active,11-50,CSM-APAC,false,acct_load_8,false
A1071,Evergreen Group,education,NA,mid_market,CA,2024-08-27 15:34:10,active,201-500,CSM-East,false,acct_load_4,false
A1072,Summit Ventures,software,NA,enterprise,US,2024-09-29 04:18:23,active,5000+,CSM-East,false,acct_load_5,false
A1073,Silver Holdings,travel,EMEA,mid_market,DE,2024-11-08 12:21:51,active,201-500,CSM-EMEA,false,acct_load_8,false
A1074,Granite Analytics,retail,NA,mid_market,CA,2024-08-10 23:20:24,active,501-1000,CSM-East,false,acct_load_12,false
A1075,Cedar Labs,software,EMEA,smb,UK,2024-11-03 07:31:13,active,11-50,CSM-EMEA,false,acct_load_3,false
A1076,Atlas Solutions,financial_services,EMEA,mid_market,UK,2025-02-23 21:32:44,active,201-500,CSM-EMEA,false,acct_load_6,false
A1077,Evergreen Foods,travel,NA,mid_market,CA,2024-09-10 23:41:36,active,201-500,CSM-East,false,acct_load_4,false
A1078,Beacon Foods,software,EMEA,mid_market,FR,2025-02-26 00:08:06,active,501-1000,CSM-EMEA,false,acct_load_9,false
A1079,Nova Foods,education,EMEA,enterprise,FR,2024-09-03 15:45:24,active,1000+,CSM-EMEA,false,acct_load_4,false
A1080,Beacon Global,financial_services,EMEA,mid_market,NL,2024-08-12 03:30:12,active,201-500,CSM-EMEA,false,acct_load_11,false
A1081,River Collective,financial_services,NA,mid_market,CA,2024-11-17 14:36:21,active,201-500,CSM-East,false,acct_load_10,false
A1082,Summit Manufacturing,manufacturing,NA,mid_market,US,2024-11-16 19:18:31,churned,501-1000,CSM-East,false,acct_load_6,true
A1083,Falcon Works,education,NA,mid_market,CA,2025-01-05 01:17:30,active,501-1000,CSM-East,false,acct_load_10,false
A1084,Silver Foods,manufacturing,NA,mid_market,CA,2024-12-07 11:11:54,active,501-1000,CSM-East,false,acct_load_3,false
A1085,Sierra Capital,financial_services,NA,smb,US,2024-09-16 10:19:51,active,11-50,CSM-East,false,acct_load_3,false
A1086,River Labs,software,EMEA,smb,FR,2025-02-20 17:58:12,active,11-50,CSM-EMEA,false,acct_load_5,false
A1087,Apex Capital,energy,NA,enterprise,CA,2024-11-26 09:20:17,churned,1000+,CSM-East,false,acct_load_4,true
A1088,Cedar Partners,energy,APAC,smb,NZ,2025-02-07 15:19:15,active,51-200,CSM-APAC,false,acct_load_4,false
A1089,Beacon Network,healthcare,NA,mid_market,US,2024-11-07 01:16:08,active,201-500,CSM-East,false,acct_load_7,false
A1090,Vertex Labs,energy,NA,smb,US,2024-09-27 22:37:20,active,11-50,CSM-East,false,acct_load_12,false
