account_id,workspace_count,active_workspace_count,prod_workspace_count,sandbox_workspace_count,primary_workspace_count,primary_workspace_name,first_workspace_created_at,latest_workspace_created_at
A1030,4,4,4,0,1,northwind-core,2024-08-30 19:49:08,2024-09-11 23:49:08
A1039,1,1,1,0,1,nova-core,2025-02-17 07:26:48,2025-02-17 07:26:48
A1043,4,4,3,1,1,lighthouse-core,2024-10-28 08:03:18,2024-11-30 03:03:18
A1045,4,4,4,0,1,nova-core,2024-11-10 06:05:10,2024-11-22 00:05:10
A1048,3,3,3,0,1,orchid-core,2025-02-21 10:00:18,2025-03-13 13:00:18
A1090,1,1,1,0,1,vertex-core,2024-10-03 14:37:20,2024-10-03 14:37:20
A1063,1,1,1,0,1,maple-core,2024-11-24 06:34:06,2024-11-24 06:34:06
A1002,3,3,2,1,1,summit-core,2025-01-16 17:12:29,2025-01-27 11:12:29
A1005,3,3,3,0,1,pacific-core,2024-09-06 06:28:15,2024-09-18 10:28:15
A1011,1,1,1,0,1,vertex-core,2025-01-23 04:17:33,2025-01-23 04:17:33
A1052,2,2,2,0,1,sierra-core,2024-12-11 11:54:21,2024-12-14 18:54:21
A1062,3,3,3,0,1,delta-core,2024-11-20 05:50:25,2024-12-06 08:50:25
A1016,4,4,4,0,1,bluepeak-core,2024-12-27 22:07:46,2025-01-14 21:07:46
A1053,3,3,3,0,1,bright-core,2024-09-24 05:24:29,2024-10-10 05:24:29
A1081,3,3,2,1,1,river-core,2024-11-24 08:36:21,2024-12-16 05:36:21
A1003,2,2,2,0,1,nova-core,2024-12-13 19:21:52,2024-12-25 16:21:52
A1027,2,2,2,0,1,bluepeak-core,2024-11-03 09:12:59,2024-11-06 15:12:59
A1034,2,2,1,1,1,helio-core,2024-12-06 12:59:06,2024-12-11 11:59:06
A1040,3,3,2,1,1,harbor-core,2024-12-17 07:58:20,2024-12-23 04:58:20
A1041,3,3,2,1,1,cedar-core,2024-08-08 13:07:41,2024-08-24 07:07:41
A1049,3,3,3,0,1,northwind-core,2024-11-13 22:19:33,2024-12-01 16:19:33
A1065,2,2,2,0,1,vertex-core,2025-01-04 22:11:13,2025-01-15 19:11:13
A1088,1,1,1,0,1,cedar-core,2025-02-18 11:19:15,2025-02-18 11:19:15
A1010,1,1,1,0,1,orchid-core,2025-02-17 12:10:21,2025-02-17 12:10:21
A1033,2,2,2,0,1,lighthouse-core,2024-10-20 20:50:01,2024-10-30 00:50:01
A1046,1,1,1,0,1,pioneer-core,2024-10-21 01:09:12,2024-10-21 01:09:12
A1051,1,1,1,0,1,lighthouse-core,2025-03-08 19:44:10,2025-03-08 19:44:10
A1006,2,2,2,0,1,helio-core,2024-11-29 22:17:28,2024-12-07 02:17:28
A1025,1,1,1,0,1,bright-core,2024-10-21 06:44:56,2024-10-21 06:44:56
A1038,2,2,2,0,1,river-core,2024-11-25 02:09:31,2024-12-06 07:09:31
A1047,3,3,2,1,1,orchid-core,2024-10-21 18:06:00,2024-10-27 14:06:00
A1074,3,3,3,0,1,granite-core,2024-08-21 16:20:24,2024-09-08 18:20:24
A1001,3,3,3,0,1,helio-core,2024-08-15 07:43:48,2024-08-31 08:43:48
A1028,2,2,1,1,1,apex-core,2024-12-31 17:17:07,2025-01-02 21:17:07
A1054,3,3,3,0,1,granite-core,2024-08-07 20:47:01,2024-08-25 16:47:01
A1059,2,2,1,1,1,evergreen-core,2024-10-02 22:27:52,2024-10-09 01:27:52
A1066,2,2,2,0,1,pacific-core,2025-01-16 08:33:41,2025-01-22 11:33:41
A1067,2,2,1,1,1,maple-core,2025-01-07 15:24:42,2025-01-17 16:24:42
A1071,3,3,2,1,1,evergreen-core,2024-09-06 09:34:10,2024-09-14 04:34:10
A1079,4,4,4,0,1,nova-core,2024-09-10 11:45:24,2024-09-28 11:45:24
A1017,2,2,2,0,1,summit-core,2024-12-09 01:14:21,2024-12-15 05:14:21
A1023,1,1,1,0,1,atlas-core,2025-02-04 12:25:38,2025-02-04 12:25:38
A1044,1,1,1,0,1,summit-core,2024-10-06 15:32:29,2024-10-06 15:32:29
A1073,2,2,2,0,1,silver-core,2024-11-11 08:21:51,2024-11-22 08:21:51
A1080,2,2,2,0,1,beacon-core,2024-08-17 21:30:12,2024-08-28 15:30:12
A1086,1,1,1,0,1,river-core,2025-02-23 14:58:12,2025-02-23 14:58:12
A1008,3,3,3,0,1,pacific-core,2024-10-12 00:07:40,2024-10-30 04:07:40
A1055,2,2,1,1,1,pioneer-core,2025-01-22 08:44:38,2025-01-29 04:44:38
A1069,3,3,3,0,1,bright-core,2024-12-07 18:08:52,2024-12-21 17:08:52
A1078,3,3,3,0,1,beacon-core,2025-03-08 18:08:06,2025-03-26 14:08:06
A1084,2,2,2,0,1,silver-core,2024-12-11 05:11:54,2024-12-20 03:11:54
A1085,1,1,1,0,1,sierra-core,2024-09-19 23:19:51,2024-09-19 23:19:51
A1089,2,2,2,0,1,beacon-core,2024-11-13 21:16:08,2024-11-22 17:16:08
A1019,2,2,1,1,1,sierra-core,2025-03-03 05:36:13,2025-03-10 23:36:13
A1020,1,1,1,0,1,pioneer-core,2025-02-25 15:09:23,2025-02-25 15:09:23
