workspace_id,account_id,workspace_name,created_at,workspace_status,deactivated_at,environment_tier,is_primary,is_active_workspace,raw_load_epoch
W2001,A1001,helio-core,2024-08-14 19:43:48,active,,prod,true,true,1723837428
W2002,A1001,helio-ops,2024-08-25 16:43:48,active,,prod,false,true,1724949828
W2003,A1001,helio-finance,2024-08-30 20:43:48,active,,prod,false,true,1725223428.0
W2004,A1002,summit-core,2025-01-16 04:12:29,active,,prod,true,true,1737432749
W2005,A1002,summit-ops,2025-01-26 22:12:29,active,,sandbox,false,true,1738188749
W2006,A1002,summit-finance,2025-01-26 01:12:29,active,,prod,false,true,1738285949
W2007,A1003,nova-core,2024-12-13 06:21:52,active,,prod,true,true,1734070912
W2008,A1003,nova-ops,2024-12-16 05:21:52,archived,2025-05-15 17:00:00,sandbox,false,false,1734326512
W2009,A1003,nova-finance,2024-12-25 03:21:52,active,,prod,false,true,1735269712
W2010,A1004,silver-core,2024-09-15 16:27:43,archived,2025-05-12 14:00:00,prod,true,false,1726676863
W2011,A1004,silver-ops,2024-09-20 15:27:43,archived,2025-05-12 10:00:00,sandbox,false,false,1726846063
W2012,A1005,pacific-core,2024-09-05 18:28:15,active,,prod,true,true,1725820095
W2013,A1005,pacific-ops,2024-09-14 18:28:15,active,,prod,false,true,1726338495
W2014,A1005,pacific-finance,2024-09-17 22:28:15,active,,prod,false,true,1726612095.0
W2015,A1006,helio-core,2024-11-29 09:17:28,active,,prod,true,true,1733131048
W2016,A1006,helio-ops,2024-12-06 13:17:28,active,,prod,false,true,1733663848
W2017,A1007,silver-core,2024-12-26 18:20:12,active,,prod,true,true,1735496412.0
W2018,A1008,pacific-core,2024-10-11 11:07:40,active,,prod,true,true,1728904060
W2019,A1008,pacific-ops,2024-10-15 18:07:40,active,,prod,false,true,1729015660
W2020,A1008,pacific-finance,2024-10-29 15:07:40,active,,prod,false,true,1730560060
W2021,A1009,summit-core,2024-09-02 00:22:46,active,,prod,true,true,1725409366.0
W2022,A1009,summit-ops,2024-09-10 22:22:46,active,,prod,false,true,1726006966
W2023,A1010,orchid-core,2025-02-16 23:10:21,active,,prod,true,true,1739747421
W2024,A1011,vertex-core,2025-01-22 15:17:33,active,,prod,true,true,1737731853
W2025,A1012,cedar-core,2024-08-28 14:09:23,active,,prod,true,true,1725026963
W2026,A1012,cedar-ops,2024-09-03 12:09:23,active,,sandbox,false,true,1725797363
W2027,A1013,river-core,2025-01-05 12:56:58,active,,prod,true,true,1736427418
W2028,A1013,river-ops,2025-01-07 07:56:58,active,,prod,false,true,1736409418.0
W2029,A1013,river-finance,2025-01-27 11:56:58,active,,prod,false,true,1738151818
W2030,A1014,evergreen-core,2024-09-26 03:29:43,archived,2025-04-20 14:00:00,prod,true,false,1727753383
W2031,A1015,delta-core,2024-09-06 19:34:41,archived,2025-04-20 18:00:00,prod,true,false,1725996881
W2032,A1015,delta-ops,2024-09-14 17:34:41,archived,2025-04-05 14:00:00,sandbox,false,false,1726680881
W2033,A1016,bluepeak-core,2024-12-27 09:07:46,active,,prod,true,true,1735376866
W2034,A1016,bluepeak-ops,2025-01-02 11:07:46,active,,prod,false,true,1736075266
W2035,A1016,bluepeak-finance,2025-01-14 08:07:46,active,,prod,false,true,1737187666
W2036,A1016,bluepeak-marketing,2025-01-08 11:07:46,active,,prod,false,true,1736334466.0
W2037,A1017,summit-core,2024-12-08 12:14:21,active,,prod,true,true,1734005661
W2038,A1017,summit-ops,2024-12-14 16:14:21,active,,prod,false,true,1734279261
W2039,A1018,harbor-core,2024-09-20 00:10:22,archived,2025-05-12 14:00:00,prod,true,false,1726963822
W2040,A1018,harbor-ops,2024-09-27 01:10:22,archived,2025-05-26 14:00:00,prod,false,false,1727399422
W2041,A1019,sierra-core,2025-03-02 16:36:13,active,,prod,true,true,1740933373
W2042,A1019,sierra-ops,2025-03-10 10:36:13,active,,sandbox,false,true,1741862173.0
W2043,A1020,pioneer-core,2025-02-25 02:09:23,active,,prod,true,true,1740622163.0
W2044,A1021,apex-core,2024-10-26 20:34:29,active,,prod,true,true,1729974869.0
W2045,A1022,summit-core,2025-02-22 23:16:56,active,,prod,true,true,1740698216
W2046,A1022,summit-ops,2025-03-03 16:16:56,active,,sandbox,false,true,1741105016
W2047,A1023,atlas-core,2025-02-03 23:25:38,active,,prod,true,true,1738797938.0
W2048,A1024,sierra-core,2025-02-03 14:59:07,active,,prod,true,true,1738681147
W2049,A1024,sierra-ops,2025-02-10 16:59:07,active,,prod,false,true,1739465947
W2050,A1025,bright-core,2024-10-20 17:44:56,active,,prod,true,true,1729705496
W2051,A1026,pioneer-core,2024-09-01 10:38:17,active,,prod,true,true,1725446297
W2052,A1027,bluepeak-core,2024-11-02 20:12:59,active,,prod,true,true,1730578379
