line_item_id,invoice_id,line_type,description,quantity,unit_price_usd,line_amount_usd,product_family,is_recurring_hint,is_recurring_line
L7101,I7001,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7102,I7001,onboarding_addon,One-time setup / training,1,300.0,300.0,services,true,false
L7103,I7002,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7104,I7003,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7105,I7004,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7106,I7005,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7107,I7006,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7108,I7007,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7109,I7008,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7110,I7009,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7111,I7010,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7112,I7011,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7113,I7012,base_subscription,Enterprise Annual - Jan 2025,1,25650.0,25650.0,subscription,true,true
L7114,I7012,implementation_addon,Implementation package,1,2000.0,2000.0,services,false,false
L7115,I7013,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7116,I7013,training_addon,One-time setup / training,1,400.0,400.0,services,false,false
L7117,I7014,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7118,I7015,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7119,I7016,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7120,I7017,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7121,I7018,base_subscription,Enterprise Annual - Jan 2025,1,25650.0,25650.0,subscription,true,true
L7122,I7018,implementation_addon,Implementation package,1,2000.0,2000.0,services,false,false
L7123,I7019,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7124,I7020,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7125,I7021,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7126,I7022,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7127,I7023,base_subscription,Growth Monthly - May 2025,1,1200.0,1200.0,subscription,true,true
L7128,I7024,base_subscription,Growth Monthly - Jun 2025,1,1200.0,1200.0,subscription,true,true
L7129,I7025,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7130,I7026,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7131,I7027,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7132,I7028,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7133,I7029,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7134,I7030,base_subscription,Starter Monthly - Jun 2025,1,500.0,500.0,subscription,true,true
L7135,I7031,base_subscription,Enterprise Monthly - Jan 2025,1,2470.0,2470.0,subscription,true,true
L7136,I7032,base_subscription,Enterprise Monthly - Feb 2025,1,2470.0,2470.0,subscription,true,true
L7137,I7033,base_subscription,Enterprise Monthly - Mar 2025,1,2470.0,2470.0,subscription,true,true
L7138,I7034,base_subscription,Enterprise Monthly - Apr 2025,1,2470.0,2470.0,subscription,true,true
L7139,I7035,base_subscription,Enterprise Monthly - May 2025,1,2470.0,2470.0,subscription,true,true
L7140,I7036,base_subscription,Enterprise Monthly - Jun 2025,1,2470.0,2470.0,subscription,true,true
L7141,I7037,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
