account_id,total_user_count,active_user_count,inactive_user_count,provisioned_user_count,latest_user_login_at,workspace_count,active_workspace_count,sandbox_workspace_count,latest_usage_date,avg_active_users_7d,avg_active_users_30d,total_projects_run_30d,total_api_calls_30d,total_alerts_30d,peak_storage_gb_30d
A1022,5,3,2,0,2025-06-29 19:33:39,2,2,1,2025-06-30,0.0,1.9666666666666666,374,17727,76,18.4
A1068,16,15,1,0,2025-06-30 01:31:25,4,4,1,2025-06-30,0.0,8.033333333333333,1892,98846,387,60.8
A1083,7,5,2,0,2025-06-24 02:59:33,2,2,1,2025-06-30,0.0,2.8,618,30719,122,35.6
A1002,12,11,1,0,2025-06-30 06:02:54,3,3,1,2025-06-30,0.0,6.666666666666667,1104,59889,225,36.3
A1005,15,12,3,0,2025-06-29 14:21:25,3,3,0,2025-06-30,0.0,8.1,1630,93530,324,60.3
A1011,6,6,0,0,2025-06-30 15:47:34,1,1,0,2025-06-30,0.0,3.9,437,27390,90,27.8
A1052,10,9,1,0,2025-06-26 23:52:16,2,2,0,2025-06-30,0.0,7.333333333333333,977,56984,193,36.7
A1062,14,14,0,0,2025-06-28 06:19:26,3,3,0,2025-06-30,0.0,9.533333333333333,1748,102875,351,60.9
A1010,8,7,1,0,2025-06-28 14:25:46,1,1,0,2025-06-30,0.0,4.3,478,29531,86,28.3
A1033,12,12,0,0,2025-06-27 20:30:49,2,2,0,2025-06-30,0.0,8.966666666666667,1158,69619,212,38.4
A1046,5,4,1,0,2025-06-29 19:46:34,1,1,0,2025-06-30,0.0,2.533333333333333,349,21104,65,17.4
A1051,7,4,3,0,2025-06-23 19:40:27,1,1,0,2025-06-30,0.0,2.5,327,19800,64,27.7
A1026,8,8,0,0,2025-06-29 23:05:34,1,1,0,2025-06-30,0.0,4.7,507,30416,101,15.5
A1037,18,15,3,0,2025-06-29 14:49:26,4,4,2,2025-06-30,0.0,7.766666666666667,1892,93362,390,66.6
A1042,11,10,1,0,2025-06-29 18:22:25,3,3,1,2025-06-30,0.0,6.733333333333333,1136,60586,217,35.9
A1061,17,16,0,1,2025-06-30 14:15:14,3,3,1,2025-06-30,0.0,8.866666666666667,1687,91764,329,48.1
A1064,4,4,0,0,2025-06-28 10:19:33,1,1,0,2025-06-30,0.0,2.4,306,18016,64,27.4
