usage_id,workspace_id,usage_date,active_users,projects_run,api_calls,storage_gb,alerts_sent,is_weekend,usage_week,weekday_num
UD9001,W2001,2025-06-01,1,5,226,27.5,1,true,2025-05-26,0
UD9002,W2001,2025-06-02,2,11,762,27.8,3,false,2025-06-02,1
UD9003,W2001,2025-06-03,3,20,1173,27.7,6,false,2025-06-02,2
UD9004,W2001,2025-06-04,3,18,823,27.9,3,false,2025-06-02,3
UD9005,W2001,2025-06-05,2,14,1042,27.5,2,false,2025-06-02,4
UD9006,W2001,2025-06-06,3,14,649,28.5,2,false,2025-06-02,5
UD9007,W2001,2025-06-07,2,6,297,29.2,1,true,2025-06-02,6
UD9008,W2001,2025-06-08,1,5,314,29.5,1,true,2025-06-02,0
UD9009,W2001,2025-06-09,2,11,680,28.7,3,false,2025-06-09,1
UD9010,W2001,2025-06-10,2,15,630,28.7,3,false,2025-06-09,2
UD9011,W2001,2025-06-11,4,24,1111,28.7,4,false,2025-06-09,3
UD9012,W2001,2025-06-12,3,19,1373,28.3,4,false,2025-06-09,4
UD9013,W2001,2025-06-13,3,18,1264,29.0,5,false,2025-06-09,5
UD9014,W2001,2025-06-14,1,5,239,30.6,1,true,2025-06-09,6
UD9015,W2001,2025-06-15,1,6,294,29.9,2,true,2025-06-09,0
UD9016,W2001,2025-06-16,2,11,652,29.5,2,false,2025-06-16,1
UD9017,W2001,2025-06-17,2,13,904,29.9,2,false,2025-06-16,2
UD9018,W2001,2025-06-18,2,14,710,31.0,3,false,2025-06-16,3
UD9019,W2001,2025-06-19,4,23,1495,30.6,3,false,2025-06-16,4
UD9020,W2001,2025-06-20,3,14,869,29.4,3,false,2025-06-16,5
UD9021,W2001,2025-06-21,2,7,415,29.8,2,true,2025-06-16,6
UD9022,W2001,2025-06-22,1,5,251,30.9,1,true,2025-06-16,0
UD9023,W2001,2025-06-23,2,11,606,29.2,3,false,2025-06-23,1
UD9024,W2001,2025-06-24,2,15,895,30.3,2,false,2025-06-23,2
UD9025,W2001,2025-06-25,2,13,731,31.7,2,false,2025-06-23,3
UD9026,W2001,2025-06-26,2,12,851,31.7,3,false,2025-06-23,4
UD9027,W2001,2025-06-27,4,21,1410,30.6,4,false,2025-06-23,5
UD9028,W2001,2025-06-28,1,5,373,31.3,1,true,2025-06-23,6
UD9029,W2001,2025-06-29,1,6,359,32.6,1,true,2025-06-23,0
UD9030,W2001,2025-06-30,2,13,625,32.5,2,false,2025-06-30,1
UD9031,W2002,2025-06-01,2,7,520,22.7,1,true,2025-05-26,0
UD9032,W2002,2025-06-02,2,12,747,23.6,2,false,2025-06-02,1
UD9033,W2002,2025-06-03,1,11,704,23.5,1,false,2025-06-02,2
UD9034,W2002,2025-06-04,2,13,668,23.6,3,false,2025-06-02,3
UD9035,W2002,2025-06-05,2,14,994,23.9,3,false,2025-06-02,4
