ticket_id,account_id,account_name,segment,region,billing_country,plan_name,plan_family,support_tier,workspace_id,workspace_name,environment_tier,opened_by_user_id,opened_at,first_response_at,resolved_at,priority,category,ticket_status,csat_score,first_response_minutes,resolution_minutes,response_sla_minutes,met_response_sla,is_open_ticket,ticket_age_days,opened_month,resolved_month
T10001,A1001,Helio Systems,mid_market,EMEA,NL,Growth Monthly,growth,priority,W2001,helio-core,prod,U3008,2025-04-16 18:58:46,2025-04-16 19:47:46,2025-04-19 01:12:46,high,data_freshness,resolved,5,49,3254,60,true,false,3,2025-04-01,2025-04-01
T10002,A1001,Helio Systems,mid_market,EMEA,NL,Growth Monthly,growth,priority,W2003,helio-finance,prod,U3008,2025-05-09 04:23:39,2025-05-09 15:00:39,2025-05-11 09:31:39,low,data_freshness,resolved,5,637,3188,1440,true,false,2,2025-05-01,2025-05-01
T10004,A1001,Helio Systems,mid_market,EMEA,NL,Growth Monthly,growth,priority,W2001,helio-core,prod,U3006,2025-04-29 09:21:34,2025-04-29 11:25:34,2025-04-29 19:35:34,medium,dashboard_filter,resolved,4,124,614,240,true,false,0,2025-04-01,2025-04-01
T10005,A1002,Summit Foods,mid_market,NA,US,Growth Monthly,growth,priority,W2006,summit-finance,prod,U3016,2025-04-05 05:12:38,2025-04-05 15:20:38,2025-04-08 14:10:38,low,sso,resolved,5,608,4858,1440,true,false,3,2025-04-01,2025-04-01
T10006,A1002,Summit Foods,mid_market,NA,US,Growth Monthly,growth,priority,W2005,summit-ops,sandbox,U3010,2025-04-13 06:17:16,2025-04-13 15:15:16,2025-04-15 15:06:16,low,permissions,resolved,4,538,3409,1440,true,false,2,2025-04-01,2025-04-01
T10007,A1002,Summit Foods,mid_market,NA,US,Growth Monthly,growth,priority,W2004,summit-core,prod,U3011,2025-06-15 07:26:52,2025-06-15 17:59:52,2025-06-17 09:12:52,low,performance,resolved,5,633,2986,1440,true,false,2,2025-06-01,2025-06-01
T10010,A1003,Nova Ventures,enterprise,NA,US,Enterprise Annual,enterprise,premium,W2008,nova-ops,sandbox,U3030,2025-05-02 11:15:13,2025-05-02 12:38:13,2025-05-05 02:50:13,medium,cancellation,resolved,4,83,3815,240,true,false,3,2025-05-01,2025-05-01
T10011,A1003,Nova Ventures,enterprise,NA,US,Enterprise Annual,enterprise,premium,W2009,nova-finance,prod,U3030,2025-04-14 05:52:45,2025-04-14 07:08:45,2025-04-14 16:01:45,medium,sso,resolved,5,76,609,240,true,false,0,2025-04-01,2025-04-01
T10012,A1003,Nova Ventures,enterprise,NA,US,Enterprise Annual,enterprise,premium,W2007,nova-core,prod,U3037,2025-05-03 01:04:17,2025-05-03 08:16:17,2025-05-04 20:11:17,low,model_error,resolved,5,432,2587,1440,true,false,1,2025-05-01,2025-05-01
T10014,A1004,Silver Solutions,enterprise,NA,US,Starter Monthly,starter,standard,W2011,silver-ops,sandbox,U3045,2025-05-22 01:22:11,2025-05-22 02:54:11,2025-05-23 15:36:11,medium,performance,resolved,4,92,2294,240,true,false,1,2025-05-01,2025-05-01
T10017,A1004,Silver Solutions,enterprise,NA,US,Starter Monthly,starter,standard,W2011,silver-ops,sandbox,U3041,2025-05-02 05:23:07,2025-05-02 05:55:07,2025-05-04 06:49:07,high,performance,resolved,4,32,2966,60,true,false,2,2025-05-01,2025-05-01
T10018,A1004,Silver Solutions,enterprise,NA,US,Starter Monthly,starter,standard,W2010,silver-core,prod,U3038,2025-05-25 23:13:07,2025-05-26 06:35:07,2025-05-28 10:57:07,low,performance,resolved,3,442,3584,1440,true,false,3,2025-05-01,2025-05-01
T10020,A1005,Pacific Labs,enterprise,EMEA,UK,Enterprise Annual,enterprise,premium,W2012,pacific-core,prod,U3055,2025-05-12 19:50:29,2025-05-13 00:59:29,2025-05-13 03:55:29,low,model_error,resolved,4,309,485,1440,true,false,1,2025-05-01,2025-05-01
T10021,A1005,Pacific Labs,enterprise,EMEA,UK,Enterprise Annual,enterprise,premium,W2014,pacific-finance,prod,U3064,2025-06-15 09:36:31,2025-06-15 14:57:31,2025-06-16 01:37:31,low,permissions,resolved,5,321,961,1440,true,false,1,2025-06-01,2025-06-01
T10022,A1005,Pacific Labs,enterprise,EMEA,UK,Enterprise Annual,enterprise,premium,W2012,pacific-core,prod,U3066,2025-04-04 14:54:21,2025-04-04 17:09:21,2025-04-07 12:18:21,low,sso,resolved,2,135,4164,1440,true,false,3,2025-04-01,2025-04-01
T10024,A1005,Pacific Labs,enterprise,EMEA,UK,Enterprise Annual,enterprise,premium,W2014,pacific-finance,prod,U3064,2025-04-15 05:39:14,2025-04-15 05:49:14,2025-04-16 05:56:14,urgent,api_limit,resolved,4,10,1457,30,true,false,1,2025-04-01,2025-04-01
T10025,A1005,Pacific Labs,enterprise,EMEA,UK,Enterprise Annual,enterprise,premium,W2012,pacific-core,prod,U3052,2025-04-02 21:48:17,2025-04-02 22:04:17,,urgent,dashboard_filter,in_progress,,16,,30,true,true,356,2025-04-01,
T10026,A1005,Pacific Labs,enterprise,EMEA,UK,Enterprise Annual,enterprise,premium,W2012,pacific-core,prod,U3061,2025-06-07 05:34:45,2025-06-07 06:56:45,2025-06-07 16:32:45,medium,sso,resolved,4,82,658,240,true,false,0,2025-06-01,2025-06-01
T10027,A1006,Helio Works,mid_market,EMEA,UK,Growth Monthly,growth,priority,W2016,helio-ops,prod,U3070,2025-06-12 12:52:28,2025-06-12 16:11:28,2025-06-12 17:37:28,medium,performance,resolved,5,199,285,240,true,false,0,2025-06-01,2025-06-01
